State / UT Region,Department Code,Service Descriptor,Submission Date,Total Recorded Transactions,Reported Latency (Days)
Delhi,PDS,Ration Subsidies,2025-11-02,5375,7.6
Delhi,Identity,DigiLocker Pull,2025-12-19,4564,9.7
Puducherry,Transport,Ration Subsidies,2025-10-17,2736,7.6
Delhi,Identity,Driving License (Sarathi),2025-12-19,7296,0.5
Maharashtra,PDS,DigiLocker Pull,2025-07-25,5676,0.3
Delhi,General Administration,Ration Subsidies,2025-12-26,4009,3.4
Maharashtra,General Administration,DigiLocker Pull,2025-12-13,4877,1.1
Puducherry,Revenue,Vehicle Registration (Vahan),2025-07-05,4846,8.9
Uttarakhand,PDS,Caste Certificate,2025-12-07,3246,8.3
NCT of Delhi,Identity,Vehicle Registration (Vahan),2025-12-25,2576,8.8
Maharashtra,PDS,Vehicle Registration (Vahan),2025-11-29,3677,3.1
Delhi,General Administration,Driving License (Sarathi),2025-07-18,4276,4.8
Puducherry,Transport,Vehicle Registration (Vahan),2025-11-13,3767,13.8
Puducherry,Revenue,Driving License (Sarathi),2025-12-13,3800,1.3
Maharashtra,Revenue,Driving License (Sarathi),2025-08-09,4390,4.5
Karnataka,PDS,Vehicle Registration (Vahan),2025-12-18,5198,4.0
Delhi,Identity,Ration Subsidies,2025-11-04,6653,13.6
Maharashtra,Revenue,DigiLocker Pull,2025-11-15,8529,5.8
Karnataka,Identity,Caste Certificate,2025-10-22,3290,5.0
Maharashtra,PDS,Driving License (Sarathi),2025-09-21,8337,0.6
Maharashtra,Revenue,Driving License (Sarathi),2025-12-09,9415,5.3
Odisha,Identity,Driving License (Sarathi),2025-10-28,6311,1.4
Uttarakhand,Revenue,Ration Subsidies,2025-11-03,4052,12.1
Uttaranchal,Transport,Vehicle Registration (Vahan),2025-10-24,4548,2.7
Puducherry,PDS,DigiLocker Pull,2025-08-08,4340,8.8
Karnataka,Identity,Driving License (Sarathi),2025-11-07,7990,11.8
Maharashtra,Revenue,Ration Subsidies,2025-12-18,4526,1.0
Delhi,PDS,Caste Certificate,2025-07-08,6429,3.3
Puducherry,PDS,Ration Subsidies,2025-11-04,7071,1.1
Karnataka,PDS,Caste Certificate,2025-07-24,5916,4.9
Karnataka,General Administration,Caste Certificate,2025-10-16,3063,6.1
Karnataka,General Administration,Vehicle Registration (Vahan),2025-08-20,6599,2.9
Uttarakhand,PDS,Ration Subsidies,2025-12-04,3204,6.5
Odisha,Identity,Caste Certificate,2025-11-23,7662,1.8
Delhi,PDS,Vehicle Registration (Vahan),2025-10-13,4587,7.7
Karnataka,General Administration,Driving License (Sarathi),2025-12-29,3694,22.1
Puducherry,Identity,Caste Certificate,2025-10-31,3984,6.1
Karnataka,Identity,Ration Subsidies,2025-11-01,5950,1.0
Maharashtra,PDS,DigiLocker Pull,2025-10-08,4637,4.1
Maharashtra,Identity,Caste Certificate,2025-10-30,5326,2.5
Karnataka,Revenue,Ration Subsidies,2025-10-07,6581,2.4
Karnataka,Transport,Ration Subsidies,2025-12-02,6643,0.2
Karnataka,Transport,DigiLocker Pull,2025-10-14,5157,9.8
Delhi,PDS,Ration Subsidies,2025-11-29,5009,3.0
Maharashtra,PDS,Driving License (Sarathi),2025-12-24,4362,0.0
Maharashtra,PDS,Caste Certificate,2025-12-05,4010,0.4
Uttarakhand,General Administration,DigiLocker Pull,2025-09-05,2096,2.1
Delhi,Transport,Vehicle Registration (Vahan),2025-08-20,6122,6.4
Maharashtra,Revenue,DigiLocker Pull,2025-11-24,3785,12.0
Uttaranchal,PDS,DigiLocker Pull,2025-09-30,5481,0.8
Odisha,Transport,Vehicle Registration (Vahan),2025-12-15,6027,1.2
Maharashtra,PDS,Ration Subsidies,2025-12-03,5382,1.2
Maharashtra,Identity,Driving License (Sarathi),2025-08-28,5228,10.2
Karnataka,Identity,Ration Subsidies,2025-09-09,5037,1.7
Delhi,Identity,DigiLocker Pull,2025-07-05,5245,2.3
Delhi,Transport,Driving License (Sarathi),2025-07-12,4684,5.9
Puducherry,Identity,Driving License (Sarathi),2025-10-12,6306,4.8
Karnataka,General Administration,Ration Subsidies,2025-11-24,4350,0.8
Odisha,Revenue,DigiLocker Pull,2025-09-03,6922,0.9
Delhi,Transport,Caste Certificate,2025-08-25,3040,1.8
Maharashtra,PDS,Driving License (Sarathi),2025-09-11,9611,7.3
Delhi,PDS,Vehicle Registration (Vahan),2025-07-11,3471,3.8
Karnataka,PDS,Caste Certificate,2025-10-01,5340,6.7
Maharashtra,Transport,Vehicle Registration (Vahan),2025-09-01,3782,0.0
Uttaranchal,Transport,Caste Certificate,2025-10-29,7143,8.4
Karnataka,General Administration,Ration Subsidies,2025-11-08,3952,7.2
Karnataka,Identity,Ration Subsidies,2025-08-16,4980,1.3
Odisha,General Administration,DigiLocker Pull,2025-07-27,4276,12.2
Uttaranchal,Revenue,DigiLocker Pull,2025-09-02,2711,11.8
Maharashtra,General Administration,Caste Certificate,2025-08-17,9562,2.5
Puducherry,Identity,DigiLocker Pull,2025-07-10,6710,8.2
Maharashtra,Transport,DigiLocker Pull,2025-08-08,4626,3.8
Karnataka,Revenue,Caste Certificate,2025-08-01,5844,2.7
Odisha,Identity,Vehicle Registration (Vahan),2025-07-07,2744,9.2
Karnataka,Identity,Caste Certificate,2025-09-26,4139,16.9
Maharashtra,Transport,Driving License (Sarathi),2025-11-23,5380,13.2
Maharashtra,Identity,Ration Subsidies,2025-09-14,3347,0.2
Odisha,PDS,Driving License (Sarathi),2025-09-07,2328,3.1
Orissa,Identity,DigiLocker Pull,2025-08-20,3360,12.7
Delhi,General Administration,DigiLocker Pull,2025-12-31,5814,0.7
Maharashtra,PDS,DigiLocker Pull,2025-12-21,3709,13.8
Puducherry,Identity,Ration Subsidies,2025-07-26,5146,
Maharashtra,Revenue,Caste Certificate,2025-11-06,8006,3.0
Karnataka,Transport,Ration Subsidies,2025-11-29,4478,6.7
Odisha,PDS,Vehicle Registration (Vahan),2025-11-21,3975,6.7
Karnataka,PDS,Caste Certificate,2025-09-15,4936,6.6
Maharashtra,PDS,Driving License (Sarathi),2025-08-10,4699,1.0
Puducherry,Identity,Driving License (Sarathi),2025-09-03,6387,35.8
Uttarakhand,General Administration,DigiLocker Pull,2025-09-29,6303,16.9
Maharashtra,Identity,Vehicle Registration (Vahan),2025-07-31,6192,0.6
Uttarakhand,PDS,DigiLocker Pull,2025-08-07,8338,8.3
Delhi,Transport,Driving License (Sarathi),2025-11-28,3103,5.3
Maharashtra,PDS,DigiLocker Pull,2025-11-17,2998,4.7
Odisha,PDS,Ration Subsidies,2025-08-27,5799,1.1
Maharashtra,Revenue,DigiLocker Pull,2025-10-05,3022,12.8
Delhi,Revenue,Driving License (Sarathi),2025-08-25,5108,1.3
Karnataka,General Administration,Driving License (Sarathi),2025-07-11,4590,1.4
Maharashtra,Revenue,Vehicle Registration (Vahan),2025-07-27,4861,3.4
Karnataka,Transport,Driving License (Sarathi),2025-11-16,3583,0.2
Maharashtra,General Administration,Caste Certificate,2025-10-28,9092,3.9
Odisha,Identity,Vehicle Registration (Vahan),2025-08-25,3229,2.5
Karnataka,PDS,Ration Subsidies,2025-09-11,6087,17.9
Uttaranchal,General Administration,Driving License (Sarathi),2025-07-20,2947,13.9
Puducherry,PDS,Driving License (Sarathi),2025-09-29,4050,9.1
Karnataka,Revenue,Vehicle Registration (Vahan),2025-12-11,3599,1.2
Karnataka,Identity,Ration Subsidies,2025-12-26,9407,9.1
Karnataka,General Administration,Ration Subsidies,2025-09-09,4994,9.3
Delhi,Revenue,DigiLocker Pull,2025-09-03,5501,1.0
Delhi,Revenue,Driving License (Sarathi),2025-07-08,5170,6.0
Odisha,Identity,Vehicle Registration (Vahan),2025-09-07,3419,2.4
NCT of Delhi,General Administration,Ration Subsidies,2025-08-14,6065,8.0
Maharashtra,PDS,Driving License (Sarathi),2025-08-12,5128,
Puducherry,Transport,Caste Certificate,2025-07-03,4698,2.3
Maharashtra,Transport,Driving License (Sarathi),2025-07-06,3890,3.3
Karnataka,Identity,Caste Certificate,2025-11-02,5378,6.1
Karnataka,PDS,Ration Subsidies,2025-08-04,4444,30.7
Delhi,Revenue,Vehicle Registration (Vahan),2025-08-14,4619,7.4
Odisha,Transport,Ration Subsidies,2025-08-19,4370,5.0
Maharashtra,General Administration,Driving License (Sarathi),2025-11-12,4382,9.4
Karnataka,PDS,DigiLocker Pull,2025-07-06,5151,1.8
Puducherry,Revenue,DigiLocker Pull,2025-07-14,3237,10.9
Maharashtra,Revenue,Vehicle Registration (Vahan),2025-10-05,3360,0.6
Puducherry,Transport,DigiLocker Pull,2025-10-17,7353,6.4
Maharashtra,Transport,Driving License (Sarathi),2025-10-25,4813,10.6
Karnataka,Identity,DigiLocker Pull,2025-08-14,3923,3.3
Karnataka,Revenue,DigiLocker Pull,2025-08-27,5682,4.9
Odisha,General Administration,Driving License (Sarathi),2025-09-04,4182,2.0
Delhi,PDS,Ration Subsidies,2025-08-15,3572,4.1
Odisha,Transport,DigiLocker Pull,2025-08-29,3900,4.1
Maharashtra,Revenue,Driving License (Sarathi),2025-10-19,5930,31.1
Karnataka,Transport,Caste Certificate,2025-07-12,3512,2.5
Delhi,Identity,Ration Subsidies,2025-07-11,4563,11.9
Karnataka,General Administration,Vehicle Registration (Vahan),2025-10-11,5646,4.6
Delhi,PDS,DigiLocker Pull,2025-10-26,1915,1.9
Uttarakhand,PDS,Caste Certificate,2025-11-28,7083,24.5
Uttarakhand,Identity,Caste Certificate,2025-07-25,6493,37.4
Uttarakhand,General Administration,Vehicle Registration (Vahan),2025-10-15,7761,9.9
Maharashtra,Identity,Ration Subsidies,2025-07-22,4892,4.7
Delhi,Transport,Vehicle Registration (Vahan),2025-12-21,6484,1.4
Uttarakhand,Identity,Caste Certificate,2025-10-17,4941,4.3
Delhi,PDS,Vehicle Registration (Vahan),2025-12-20,3697,2.2
Delhi,General Administration,Vehicle Registration (Vahan),2025-08-08,8045,5.0
Delhi,Identity,DigiLocker Pull,2025-09-15,5034,3.7
Karnataka,Revenue,Vehicle Registration (Vahan),2025-11-15,7708,1.8
Karnataka,Transport,Driving License (Sarathi),2025-10-19,5055,6.1
Karnataka,General Administration,Caste Certificate,2025-08-19,6647,3.3
Maharashtra,General Administration,Ration Subsidies,2025-11-28,4637,13.1
Odisha,General Administration,DigiLocker Pull,2025-09-13,4546,1.3
Puducherry,Transport,Caste Certificate,2025-12-16,5603,1.9
Maharashtra,Revenue,Caste Certificate,2025-07-27,3950,2.1
Maharashtra,General Administration,Driving License (Sarathi),2025-10-18,6504,0.8
Karnataka,Transport,Ration Subsidies,2025-09-03,4282,1.3
Delhi,PDS,Vehicle Registration (Vahan),2025-08-23,5719,7.7
Orissa,Identity,DigiLocker Pull,2025-11-26,5873,1.8
Maharashtra,PDS,Driving License (Sarathi),2025-11-30,1862,0.2
Delhi,PDS,Vehicle Registration (Vahan),2025-09-21,6930,3.8
Delhi,Revenue,Vehicle Registration (Vahan),2025-09-12,2235,5.3
Puducherry,Transport,Caste Certificate,2025-11-16,6219,4.9
Karnataka,General Administration,Ration Subsidies,2025-08-02,6536,8.3
Maharashtra,PDS,Caste Certificate,2025-07-01,4219,0.3
Karnataka,Identity,Driving License (Sarathi),2025-08-17,4738,7.0
Puducherry,General Administration,Driving License (Sarathi),2025-08-19,4948,0.7
Odisha,Revenue,Vehicle Registration (Vahan),2025-10-02,4283,10.2
Uttarakhand,Transport,DigiLocker Pull,2025-10-28,7493,14.3
Karnataka,Revenue,Driving License (Sarathi),2025-07-29,5602,3.2
Orissa,Revenue,Driving License (Sarathi),2025-11-20,3609,1.1
Delhi,Transport,Caste Certificate,2025-10-13,4403,2.7
Maharashtra,General Administration,Ration Subsidies,2025-09-03,4409,6.9
Karnataka,PDS,DigiLocker Pull,2025-12-01,7057,2.8
Delhi,Revenue,Driving License (Sarathi),2025-10-27,6528,8.6
Maharashtra,Transport,Driving License (Sarathi),2025-12-14,3618,6.6
Karnataka,General Administration,Driving License (Sarathi),2025-10-22,4894,2.9
Uttarakhand,Identity,Vehicle Registration (Vahan),2025-08-31,4339,0.4
Uttarakhand,PDS,Driving License (Sarathi),2025-11-18,6466,2.8
Uttarakhand,Revenue,Caste Certificate,2025-12-25,4062,0.8
Maharashtra,Revenue,DigiLocker Pull,2025-08-05,4954,5.2
Puducherry,Transport,DigiLocker Pull,2025-11-28,4905,16.4
Odisha,General Administration,DigiLocker Pull,2025-10-30,3485,2.4
Odisha,General Administration,Driving License (Sarathi),2025-11-30,2113,12.9
Maharashtra,Revenue,DigiLocker Pull,2025-09-06,5357,19.3
Karnataka,Revenue,Vehicle Registration (Vahan),2025-07-10,5566,3.0
Karnataka,Revenue,Caste Certificate,2025-10-15,5971,1.5
Maharashtra,Revenue,Driving License (Sarathi),2025-07-31,5670,5.0
Orissa,General Administration,Driving License (Sarathi),2025-12-06,3713,3.0
Delhi,Identity,DigiLocker Pull,2025-09-11,4820,23.3
Uttarakhand,General Administration,Caste Certificate,2025-09-09,7094,1.8
Uttarakhand,Revenue,Ration Subsidies,2025-11-22,3670,4.8
Karnataka,Identity,Driving License (Sarathi),2025-10-19,6818,11.5
Karnataka,Revenue,Vehicle Registration (Vahan),2025-07-22,2685,15.7
Karnataka,PDS,DigiLocker Pull,2025-11-21,2296,1.2
Delhi,General Administration,Caste Certificate,2025-11-30,5795,5.6
Maharashtra,Transport,Vehicle Registration (Vahan),2025-11-25,6872,11.5
Karnataka,General Administration,Ration Subsidies,2025-07-27,5452,8.2
Maharashtra,Identity,Driving License (Sarathi),2025-11-04,5097,2.4
Odisha,General Administration,Ration Subsidies,2025-07-21,3645,1.9
Puducherry,General Administration,DigiLocker Pull,2025-08-26,5430,2.5
Uttarakhand,Revenue,Ration Subsidies,2025-11-20,3554,1.1
Delhi,Identity,Driving License (Sarathi),2025-07-05,4522,5.1
Karnataka,Transport,Caste Certificate,2025-10-08,7345,2.3
Puducherry,Transport,Ration Subsidies,2025-09-05,4206,28.9
Odisha,Revenue,Caste Certificate,2025-09-06,3145,0.5
Maharashtra,General Administration,Driving License (Sarathi),2025-09-29,3038,11.5
Maharashtra,Revenue,Caste Certificate,2025-11-13,4609,3.9
Maharashtra,PDS,DigiLocker Pull,2025-07-07,8814,0.3
Uttarakhand,Transport,Ration Subsidies,2025-07-25,2558,20.5
Maharashtra,Transport,Ration Subsidies,2025-12-16,5451,4.7
Odisha,Revenue,Driving License (Sarathi),2025-10-27,7622,1.4
Odisha,PDS,DigiLocker Pull,2025-12-07,5434,3.8
Odisha,General Administration,Driving License (Sarathi),2025-09-29,4923,3.3
Odisha,General Administration,Caste Certificate,2025-11-29,7113,13.3
Karnataka,General Administration,Caste Certificate,2025-08-05,2378,34.4
Delhi,PDS,Ration Subsidies,2025-08-23,7924,9.6
Karnataka,Revenue,Ration Subsidies,2025-12-23,5088,6.0
Karnataka,Revenue,Caste Certificate,2025-10-08,6287,0.7
Delhi,Identity,Ration Subsidies,2025-12-17,3861,1.5
Karnataka,Transport,DigiLocker Pull,2025-09-02,7176,0.7
Karnataka,PDS,Ration Subsidies,2025-10-01,4173,7.8
Maharashtra,Identity,Caste Certificate,2025-09-01,3561,3.8
Maharashtra,General Administration,Driving License (Sarathi),2025-11-08,5730,0.5
Karnataka,Revenue,Caste Certificate,2025-11-08,5051,2.0
Puducherry,PDS,Vehicle Registration (Vahan),2025-08-02,7894,2.6
Maharashtra,General Administration,Caste Certificate,2025-11-24,4612,3.4
Maharashtra,PDS,Ration Subsidies,2025-12-24,5582,5.0
Maharashtra,Identity,Caste Certificate,2025-12-25,4305,11.6
Odisha,General Administration,Caste Certificate,2025-08-10,6386,13.8
Maharashtra,Transport,Ration Subsidies,2025-09-14,5100,4.4
Maharashtra,General Administration,Caste Certificate,2025-09-01,4465,2.5
Orissa,Identity,DigiLocker Pull,2025-08-29,4834,1.3
Maharashtra,Identity,Driving License (Sarathi),2025-12-13,2660,4.1
Odisha,Transport,Driving License (Sarathi),2025-11-21,4616,14.4
Maharashtra,General Administration,DigiLocker Pull,2025-08-24,4750,14.1
Odisha,PDS,Ration Subsidies,2025-11-20,9133,0.1
Odisha,Transport,Caste Certificate,2025-09-29,4275,2.2
Uttarakhand,Revenue,Caste Certificate,2025-07-11,7572,5.7
Puducherry,Identity,Vehicle Registration (Vahan),2025-11-27,4571,3.3
Puducherry,General Administration,Vehicle Registration (Vahan),2025-12-06,3807,0.7
Maharashtra,Transport,Vehicle Registration (Vahan),2025-07-11,5265,0.5
Delhi,PDS,DigiLocker Pull,2025-09-20,6537,2.5
Maharashtra,Identity,Vehicle Registration (Vahan),2025-11-18,4223,3.0
Maharashtra,Identity,Caste Certificate,2025-10-23,5810,1.2
Delhi,PDS,Vehicle Registration (Vahan),2025-10-26,5424,3.6
Karnataka,Identity,Caste Certificate,2025-08-17,7005,1.2
Orissa,Identity,Caste Certificate,2025-10-29,3077,5.8
Odisha,Identity,DigiLocker Pull,2025-12-26,5326,2.3
Uttarakhand,PDS,Ration Subsidies,2025-10-24,2538,1.4
Karnataka,General Administration,Driving License (Sarathi),2025-08-09,4549,2.8
Maharashtra,General Administration,Caste Certificate,2025-12-24,6498,0.6
Maharashtra,Identity,Vehicle Registration (Vahan),2025-09-13,7081,3.6
Karnataka,Identity,Ration Subsidies,2025-07-23,4159,2.7
Maharashtra,General Administration,Ration Subsidies,2025-07-15,6947,4.6
Maharashtra,Transport,Driving License (Sarathi),2025-10-20,5085,8.4
Maharashtra,General Administration,Caste Certificate,2025-11-06,6806,3.8
Maharashtra,PDS,Caste Certificate,2025-10-31,6407,0.8
Karnataka,PDS,Ration Subsidies,2025-07-17,6647,0.7
Karnataka,PDS,DigiLocker Pull,2025-07-03,7423,3.4
Maharashtra,General Administration,Ration Subsidies,2025-08-11,3449,1.6
Maharashtra,PDS,Caste Certificate,2025-07-24,4610,8.0
Maharashtra,Identity,Caste Certificate,2025-11-03,2679,17.4
Maharashtra,PDS,Ration Subsidies,2025-10-13,6940,21.6
Maharashtra,Transport,Caste Certificate,2025-08-08,5710,4.9
Uttaranchal,Identity,Ration Subsidies,2025-11-30,2802,22.4
Karnataka,General Administration,Ration Subsidies,2025-10-25,4470,0.4
Puducherry,Transport,Driving License (Sarathi),2025-12-03,5971,1.8
Karnataka,General Administration,DigiLocker Pull,2025-07-25,5570,6.5
Puducherry,Revenue,Vehicle Registration (Vahan),2025-10-10,2998,8.0
Karnataka,Identity,Caste Certificate,2025-09-12,4801,3.6
Puducherry,Identity,Ration Subsidies,2025-07-09,4897,0.5
Delhi,PDS,Vehicle Registration (Vahan),2025-07-11,7053,2.4
Odisha,General Administration,Caste Certificate,2025-12-28,3213,11.5
Karnataka,PDS,Driving License (Sarathi),2025-10-26,7903,31.9
Puducherry,Identity,Ration Subsidies,2025-08-22,5321,1.3
Maharashtra,Revenue,Ration Subsidies,2025-07-03,5929,2.4
Delhi,Transport,Caste Certificate,2025-12-12,5148,2.6
Maharashtra,Revenue,Vehicle Registration (Vahan),2025-09-05,3714,8.4
Karnataka,PDS,Driving License (Sarathi),2025-10-28,4285,3.0
NCT of Delhi,General Administration,Caste Certificate,2025-11-13,4906,0.0
Karnataka,General Administration,Driving License (Sarathi),2025-11-30,7910,8.8
Puducherry,Identity,Caste Certificate,2025-09-05,4418,18.1
Puducherry,Transport,Driving License (Sarathi),2025-10-28,3924,1.0
Delhi,Revenue,Driving License (Sarathi),2025-10-15,8305,7.4
Maharashtra,Transport,Vehicle Registration (Vahan),2025-11-13,3989,0.3
Maharashtra,Identity,Vehicle Registration (Vahan),2025-12-03,2845,2.3
Maharashtra,Revenue,Driving License (Sarathi),2025-11-14,2151,4.3
Odisha,Transport,DigiLocker Pull,2025-10-10,5203,24.8
Karnataka,General Administration,Caste Certificate,2025-12-17,3217,3.4
Maharashtra,Identity,Ration Subsidies,2025-09-21,6794,1.2
Uttaranchal,General Administration,Ration Subsidies,2025-10-22,3937,0.7
Puducherry,Transport,Caste Certificate,2025-07-16,3858,9.3
Odisha,General Administration,Caste Certificate,2025-10-07,7000,1.4
Puducherry,Identity,Ration Subsidies,2025-12-24,4654,8.6
Karnataka,Transport,Vehicle Registration (Vahan),2025-08-01,3538,3.1
Maharashtra,General Administration,DigiLocker Pull,2025-10-04,2833,0.5
Maharashtra,Revenue,Vehicle Registration (Vahan),2025-11-20,2841,4.8
Maharashtra,PDS,Vehicle Registration (Vahan),2025-10-21,5449,6.5
Maharashtra,Identity,Caste Certificate,2025-07-01,3942,6.6
Karnataka,General Administration,Caste Certificate,2025-12-09,3135,2.1
Odisha,PDS,Caste Certificate,2025-12-25,3291,18.7
Karnataka,Transport,Driving License (Sarathi),2025-10-04,4306,0.8
Delhi,Transport,Vehicle Registration (Vahan),2025-09-06,3490,1.3
Odisha,Identity,Driving License (Sarathi),2025-10-23,3897,0.5
Maharashtra,Revenue,Vehicle Registration (Vahan),2025-12-10,4251,19.5
Karnataka,Revenue,Ration Subsidies,2025-07-14,3534,2.9
Maharashtra,Transport,Vehicle Registration (Vahan),2025-11-23,6177,14.6
Odisha,General Administration,DigiLocker Pull,2025-11-24,6631,1.5
Puducherry,Identity,DigiLocker Pull,2025-11-08,3287,4.5
Karnataka,PDS,Driving License (Sarathi),2025-12-03,6182,6.9
Odisha,Identity,Ration Subsidies,2025-11-20,3998,2.3
Maharashtra,General Administration,Caste Certificate,2025-12-04,2857,12.9
Maharashtra,PDS,Vehicle Registration (Vahan),2025-07-22,6284,5.1
Odisha,General Administration,Caste Certificate,2025-08-15,4763,6.8
Karnataka,Revenue,Ration Subsidies,2025-09-01,6667,4.2
Uttarakhand,General Administration,DigiLocker Pull,2025-12-02,2417,7.1
Karnataka,General Administration,Vehicle Registration (Vahan),2025-10-24,3848,28.5
Delhi,Transport,Caste Certificate,2025-11-06,5008,3.0
Uttarakhand,General Administration,Driving License (Sarathi),2025-10-29,3108,1.4
Maharashtra,Transport,Driving License (Sarathi),2025-10-24,9162,3.5
Puducherry,Transport,DigiLocker Pull,2025-09-06,3466,7.6
Odisha,PDS,Ration Subsidies,2025-12-20,9528,13.5
Maharashtra,PDS,DigiLocker Pull,2025-10-17,6677,9.1
Karnataka,Identity,Driving License (Sarathi),2025-12-10,5022,2.2
Delhi,Transport,Ration Subsidies,2025-07-13,5813,7.2
Uttarakhand,Revenue,Driving License (Sarathi),2025-07-20,4271,4.6
Karnataka,General Administration,Ration Subsidies,2025-11-01,6288,6.2
Odisha,Transport,Driving License (Sarathi),2025-09-05,7781,19.2
Karnataka,General Administration,Ration Subsidies,2025-11-28,5813,8.4
Maharashtra,PDS,Driving License (Sarathi),2025-07-31,2251,1.4
Delhi,PDS,Vehicle Registration (Vahan),2025-08-19,6122,6.5
Puducherry,PDS,Caste Certificate,2025-12-07,3991,2.6
Puducherry,General Administration,Caste Certificate,2025-07-05,6090,0.8
Delhi,General Administration,DigiLocker Pull,2025-10-08,3136,1.2
Maharashtra,General Administration,Ration Subsidies,2025-08-26,3402,3.9
NCT of Delhi,General Administration,DigiLocker Pull,2025-09-10,5520,3.3
Uttarakhand,PDS,DigiLocker Pull,2025-08-20,6730,1.3
Puducherry,Identity,Caste Certificate,2025-09-08,3167,33.3
Maharashtra,Transport,Vehicle Registration (Vahan),2025-10-30,4315,2.4
Uttarakhand,Transport,Vehicle Registration (Vahan),2025-07-07,4035,2.2
Maharashtra,General Administration,Driving License (Sarathi),2025-09-06,4772,8.7
Maharashtra,General Administration,Driving License (Sarathi),2025-09-01,6698,19.6
Puducherry,General Administration,Driving License (Sarathi),2025-11-11,3770,1.4
Maharashtra,Identity,DigiLocker Pull,2025-08-25,7529,6.9
Maharashtra,PDS,Caste Certificate,2025-10-30,8898,0.8
Delhi,Identity,Ration Subsidies,2025-08-09,6734,1.1
Delhi,PDS,Vehicle Registration (Vahan),2025-12-25,3623,2.2
Maharashtra,Identity,Ration Subsidies,2025-11-17,4660,3.0
Puducherry,General Administration,Vehicle Registration (Vahan),2025-07-14,4450,2.5
Karnataka,General Administration,Vehicle Registration (Vahan),2025-08-08,6713,8.5
Uttarakhand,Revenue,DigiLocker Pull,2025-08-07,5510,11.0
Delhi,Transport,Caste Certificate,2025-09-13,5125,4.6
Maharashtra,PDS,Caste Certificate,2025-12-17,4740,19.6
Puducherry,Transport,Caste Certificate,2025-10-23,6374,0.9
NCT of Delhi,General Administration,Driving License (Sarathi),2025-08-08,4801,17.0
Delhi,Transport,DigiLocker Pull,2025-12-22,4210,6.6
Maharashtra,Identity,Driving License (Sarathi),2025-10-22,3347,16.4
Maharashtra,Identity,Caste Certificate,2025-07-14,5142,12.3
Delhi,PDS,DigiLocker Pull,2025-07-15,4671,7.3
Uttaranchal,Revenue,Ration Subsidies,2025-10-04,4236,1.2
Puducherry,General Administration,Caste Certificate,2025-08-13,2095,22.1
Maharashtra,PDS,Ration Subsidies,2025-09-09,4098,16.3
Uttarakhand,Transport,Caste Certificate,2025-08-04,-999,11.0
Uttarakhand,Revenue,Ration Subsidies,2025-12-08,3080,10.9
Karnataka,Transport,DigiLocker Pull,2025-10-14,7884,1.3
Odisha,Revenue,DigiLocker Pull,2025-11-13,4757,7.7
Delhi,General Administration,Ration Subsidies,2025-10-09,6515,0.7
Odisha,General Administration,Caste Certificate,2025-07-02,5871,8.3
Odisha,General Administration,DigiLocker Pull,2025-11-06,6547,2.0
NCT of Delhi,Transport,Ration Subsidies,2025-10-22,2920,
Maharashtra,Transport,Ration Subsidies,2025-07-16,4821,4.5
Delhi,Transport,Driving License (Sarathi),2025-09-10,8205,6.4
Odisha,General Administration,DigiLocker Pull,2025-07-07,6257,3.7
Maharashtra,General Administration,Vehicle Registration (Vahan),2025-08-10,1898,6.9
Delhi,General Administration,Vehicle Registration (Vahan),2025-11-29,5143,2.5
Uttarakhand,General Administration,Ration Subsidies,2025-09-13,5563,
Odisha,General Administration,Caste Certificate,2025-11-18,8569,18.8
Uttarakhand,Revenue,Driving License (Sarathi),2025-12-31,3089,8.5
Puducherry,PDS,Driving License (Sarathi),2025-07-15,3434,4.2
Karnataka,Transport,Ration Subsidies,2025-07-31,3249,2.5
Karnataka,Identity,Driving License (Sarathi),2025-08-21,3861,2.0
Puducherry,Identity,Driving License (Sarathi),2025-10-24,3792,2.4
Delhi,General Administration,DigiLocker Pull,2025-12-24,3490,2.5
Puducherry,Transport,Vehicle Registration (Vahan),2025-09-24,3239,3.0
Uttarakhand,General Administration,Driving License (Sarathi),2025-07-11,4248,13.3
Karnataka,General Administration,DigiLocker Pull,2025-11-17,6806,0.9
Maharashtra,PDS,Driving License (Sarathi),2025-09-02,3649,3.1
Uttarakhand,Identity,DigiLocker Pull,2025-09-17,6405,5.7
Karnataka,Identity,DigiLocker Pull,2025-11-04,3501,1.5
Karnataka,PDS,DigiLocker Pull,2025-10-12,5175,1.9
Karnataka,PDS,Driving License (Sarathi),2025-12-17,4423,3.9
Odisha,Transport,Caste Certificate,2025-10-15,2731,0.5
Maharashtra,General Administration,Driving License (Sarathi),2025-10-29,3701,0.7
Uttarakhand,PDS,Caste Certificate,2025-09-03,6301,3.6
Delhi,General Administration,DigiLocker Pull,2025-10-30,3288,1.2
Delhi,PDS,Driving License (Sarathi),2025-07-27,4315,1.9
Orissa,Revenue,Driving License (Sarathi),2025-10-09,6065,10.4
Maharashtra,Revenue,DigiLocker Pull,2025-09-05,3738,23.1
Maharashtra,General Administration,DigiLocker Pull,2025-07-12,5260,12.7
Odisha,Identity,Vehicle Registration (Vahan),2025-11-06,4134,14.6
Puducherry,Transport,Vehicle Registration (Vahan),2025-07-11,7945,2.0
Karnataka,General Administration,Ration Subsidies,2025-10-24,6155,8.2
Karnataka,Identity,Ration Subsidies,2025-09-06,5262,9.8
Delhi,PDS,DigiLocker Pull,2025-08-15,5664,11.6
